N,P,K,temperature,humidity,ph,rainfall,label
72.0,60.0,25.0,18.525,69.027,5.773,88.102,maize
67.0,51.0,24.0,23.502,61.32,5.584,64.777,maize
86.0,36.0,24.0,26.549,72.891,5.787,73.336,maize
76.0,48.0,18.0,19.295,69.634,5.775,83.21,maize
75.0,53.0,18.0,20.688,59.437,6.864,103.651,maize
81.0,45.0,23.0,19.326,68.034,6.192,84.229,maize
73.0,45.0,21.0,24.605,73.588,6.636,96.591,maize
71.0,35.0,24.0,22.273,59.521,5.826,67.967,maize
96.0,54.0,22.0,25.701,61.334,6.96,83.207,maize
99.0,39.0,18.0,19.201,68.305,6.112,87.85,maize
62.0,48.0,20.0,21.701,60.474,6.708,95.713,maize
86.0,37.0,16.0,20.517,59.212,5.561,67.61,maize
94.0,50.0,19.0,23.303,73.625,5.873,97.59,maize
76.0,39.0,24.0,24.254,55.647,6.995,64.238,maize
77.0,52.0,17.0,24.863,65.742,5.714,75.822,maize
74.0,39.0,23.0,22.626,65.774,6.78,88.172,maize
81.0,49.0,20.0,18.041,60.614,5.513,104.232,maize
63.0,42.0,21.0,23.262,72.331,5.798,67.102,maize
99.0,38.0,21.0,22.883,71.597,6.352,67.727,maize
90.0,52.0,25.0,25.974,69.363,6.822,103.223,maize
68.0,40.0,19.0,26.143,66.205,6.655,107.236,maize
60.0,57.0,24.0,18.661,61.553,6.121,75.032,maize
71.0,52.0,18.0,25.107,55.977,5.79,78.16,maize
61.0,59.0,17.0,23.338,59.245,6.474,105.008,maize
88.0,38.0,15.0,25.082,65.921,6.455,62.491,maize
65.0,60.0,22.0,25.367,72.52,6.606,107.912,maize
78.0,37.0,22.0,25.342,63.318,6.33,74.52,maize
78.0,58.0,15.0,25.009,67.816,6.528,62.913,maize
92.0,60.0,23.0,18.667,71.516,5.721,69.932,maize
79.0,59.0,17.0,20.379,63.738,6.644,108.505,maize
91.0,55.0,15.0,18.093,72.61,6.376,78.961,maize
76.0,51.0,18.0,26.169,71.962,6.247,79.849,maize
87.0,48.0,25.0,18.653,61.378,6.656,93.62,maize
71.0,60.0,22.0,26.074,59.371,6.204,85.756,maize
90.0,57.0,24.0,18.928,72.8,6.158,82.341,maize
67.0,35.0,22.0,23.305,63.246,6.385,108.76,maize
60.0,54.0,19.0,18.748,62.498,6.417,70.234,maize
83.0,58.0,23.0,19.742,59.662,6.381,65.508,maize
83.0,57.0,19.0,25.73,70.747,6.877,98.737,maize
40.0,72.0,77.0,17.024,16.988,7.485,88.551,chickpea
23.0,72.0,84.0,19.02,17.131,6.92,79.926,chickpea
39.0,58.0,85.0,17.887,15.405,5.996,68.549,chickpea
22.0,72.0,85.0,18.868,15.658,6.391,88.51,chickpea
36.0,67.0,77.0,18.369,19.563,7.152,79.263,chickpea
32.0,73.0,81.0,20.45,15.403,5.988,92.683,chickpea
58.0,70.0,84.0,20.654,16.608,6.231,74.663,chickpea
59.0,70.0,84.0,17.334,18.749,7.55,82.617,chickpea
42.0,62.0,75.0,18.179,18.904,7.01,81.849,chickpea
28.0,74.0,81.0,18.012,18.309,8.753,81.985,chickpea
58.0,66.0,79.0,20.993,19.334,8.718,93.552,chickpea
43.0,66.0,79.0,19.462,15.225,7.976,74.585,chickpea
58.0,63.0,81.0,19.813,14.697,6.515,78.965,chickpea
23.0,62.0,85.0,18.974,19.516,8.49,80.71,chickpea
27.0,62.0,77.0,18.197,14.71,6.576,70.181,chickpea
28.0,72.0,84.0,18.729,19.181,6.481,71.58,chickpea
50.0,56.0,76.0,20.995,19.86,7.966,73.507,chickpea
39.0,71.0,84.0,20.281,16.395,8.14,82.523,chickpea
25.0,78.0,76.0,17.48,15.755,7.228,66.969,chickpea
31.0,70.0,77.0,20.888,14.323,6.492,90.462,chickpea
26.0,80.0,83.0,17.084,16.145,7.528,71.31,chickpea
25.0,68.0,77.0,20.093,15.112,7.701,85.749,chickpea
31.0,78.0,76.0,17.572,14.999,8.519,89.31,chickpea
60.0,68.0,83.0,19.12,18.434,6.62,85.529,chickpea
59.0,62.0,83.0,18.576,19.22,8.104,72.949,chickpea
22.0,67.0,78.0,17.166,14.424,6.204,72.326,chickpea
36.0,65.0,80.0,18.287,16.679,6.051,74.874,chickpea
59.0,60.0,84.0,19.03,18.667,7.69,94.709,chickpea
54.0,77.0,85.0,17.141,17.066,7.829,83.746,chickpea
43.0,68.0,81.0,17.478,17.932,6.761,78.92,chickpea
28.0,76.0,82.0,20.566,14.258,6.654,83.759,chickpea
42.0,79.0,85.0,17.223,15.82,6.129,76.575,chickpea
32.0,60.0,83.0,19.691,19.442,8.829,91.76,chickpea
22.0,78.0,76.0,17.848,19.091,8.621,76.324,chickpea
31.0,79.0,75.0,18.82,16.107,8.204,89.731,chickpea
28.0,58.0,81.0,17.475,16.543,6.18,93.35,chickpea
57.0,58.0,77.0,18.726,17.584,7.978,81.201,chickpea
49.0,55.0,78.0,18.655,16.177,7.863,81.707,chickpea
46.0,76.0,77.0,18.235,19.685,6.967,83.748,chickpea
54.0,61.0,77.0,18.811,15.216,6.206,77.542,chickpea
38.0,60.0,76.0,18.65,17.808,8.868,77.927,chickpea
59.0,55.0,79.0,20.367,16.895,8.766,82.254,chickpea
36.0,76.0,75.0,18.381,16.638,8.736,70.52,chickpea
57.0,68.0,81.0,17.17,17.304,8.081,72.786,chickpea
35.0,66.0,81.0,19.371,15.774,6.138,85.248,chickpea
35.0,64.0,78.0,17.928,14.273,7.496,85.373,chickpea
52.0,60.0,79.0,19.453,18.234,8.38,75.631,chickpea
27.0,76.0,83.0,19.128,14.922,6.289,89.618,chickpea
57.0,60.0,84.0,19.103,17.261,6.586,75.491,chickpea
52.0,68.0,78.0,17.485,16.96,6.896,86.05,chickpea
43.0,79.0,79.0,19.407,18.98,7.806,80.25,chickpea
44.0,74.0,85.0,20.186,19.637,7.15,78.26,chickpea
24.0,55.0,78.0,17.302,15.154,6.649,75.577,chickpea
29.0,77.0,75.0,17.503,15.48,7.778,72.944,chickpea
20.0,60.0,78.0,18.172,14.7,6.358,90.776,chickpea
56.0,67.0,78.0,17.574,16.718,8.255,77.818,chickpea
37.0,66.0,85.0,20.931,18.912,6.456,78.069,chickpea
49.0,71.0,76.0,19.71,17.638,6.613,85.579,chickpea
59.0,69.0,80.0,19.079,17.867,8.165,69.406,chickpea
20.0,79.0,77.0,18.549,16.025,7.648,76.325,chickpea
24.0,56.0,85.0,18.199,17.413,6.545,80.64,chickpea
51.0,72.0,75.0,18.888,14.994,7.104,80.111,chickpea
57.0,73.0,85.0,18.493,14.721,7.358,91.945,chickpea
22.0,64.0,82.0,19.489,17.172,6.474,87.513,chickpea
52.0,73.0,79.0,17.257,18.749,7.84,94.002,chickpea
29.0,75.0,75.0,19.624,18.714,7.064,88.458,chickpea
44.0,59.0,78.0,20.675,19.853,7.599,84.783,chickpea
41.0,69.0,82.0,20.023,16.632,6.715,68.978,chickpea
52.0,56.0,85.0,20.118,14.442,6.817,88.681,chickpea
34.0,76.0,80.0,20.656,15.845,7.985,65.238,chickpea
42.0,74.0,83.0,19.258,14.28,7.545,65.78,chickpea
34.0,71.0,79.0,17.927,15.856,7.728,74.638,chickpea
27.0,73.0,79.0,19.162,15.835,7.354,82.697,chickpea
30.0,70.0,79.0,20.269,19.969,7.313,69.644,chickpea
57.0,57.0,75.0,17.091,18.251,7.785,87.274,chickpea
27.0,79.0,82.0,17.065,17.54,6.307,70.871,chickpea
32.0,71.0,85.0,20.627,14.44,6.403,92.066,chickpea
31.0,76.0,82.0,20.824,17.85,7.599,79.205,chickpea
33.0,75.0,84.0,19.462,18.728,7.217,68.814,chickpea
47.0,80.0,77.0,17.182,16.428,7.561,72.85,chickpea
54.0,62.0,80.0,17.489,16.39,7.489,79.457,chickpea
47.0,79.0,78.0,17.483,14.76,6.609,65.113,chickpea
35.0,57.0,83.0,19.483,17.445,7.476,80.498,chickpea
53.0,73.0,77.0,19.713,18.096,7.325,73.644,chickpea
45.0,61.0,78.0,19.486,16.062,6.489,81.528,chickpea
37.0,78.0,79.0,19.952,14.826,7.786,88.681,chickpea
30.0,75.0,81.0,19.417,16.804,6.408,68.495,chickpea
37.0,55.0,82.0,19.455,18.022,8.423,78.449,chickpea
53.0,65.0,76.0,20.191,16.419,8.719,77.337,chickpea
22.0,60.0,85.0,18.839,14.74,7.811,94.781,chickpea
60.0,61.0,78.0,20.712,19.836,6.317,94.036,chickpea
42.0,67.0,77.0,18.994,15.936,7.114,78.697,chickpea
39.0,76.0,76.0,19.968,15.573,8.135,69.157,chickpea
35.0,63.0,76.0,17.815,17.607,7.714,90.82,chickpea
30.0,65.0,82.0,20.714,15.278,7.103,76.778,chickpea
57.0,56.0,78.0,17.341,18.756,8.861,67.954,chickpea
48.0,65.0,78.0,17.437,14.338,7.861,73.092,chickpea
36.0,56.0,83.0,18.897,19.761,7.452,69.095,chickpea
40.0,58.0,75.0,18.591,14.779,7.168,89.609,chickpea
49.0,69.0,82.0,18.315,15.361,7.263,81.787,chickpea
13.0,60.0,25.0,17.136,20.595,5.685,128.256,kidneybeans
25.0,70.0,16.0,19.634,18.907,5.759,106.359,kidneybeans
31.0,55.0,22.0,22.913,21.339,5.873,109.225,kidneybeans
40.0,64.0,16.0,16.433,24.24,5.926,140.371,kidneybeans
2.0,61.0,20.0,22.139,23.022,5.955,76.641,kidneybeans
26.0,65.0,22.0,17.848,18.776,5.949,143.098,kidneybeans
17.0,57.0,21.0,19.883,20.315,5.789,60.919,kidneybeans
26.0,80.0,18.0,19.325,23.333,5.581,104.778,kidneybeans
17.0,59.0,17.0,18.416,23.428,5.689,132.98,kidneybeans
27.0,59.0,22.0,21.811,23.205,5.794,130.06,kidneybeans
28.0,58.0,24.0,19.727,18.281,5.748,143.763,kidneybeans
25.0,57.0,19.0,17.154,19.87,5.566,87.996,kidneybeans
28.0,80.0,17.0,19.622,18.671,5.809,144.156,kidneybeans
25.0,60.0,22.0,21.631,21.179,5.887,134.364,kidneybeans
12.0,78.0,23.0,16.065,18.724,5.998,88.066,kidneybeans
6.0,77.0,25.0,20.611,24.363,5.792,69.638,kidneybeans
22.0,79.0,17.0,21.424,20.396,5.912,116.52,kidneybeans
27.0,80.0,15.0,19.07,21.21,5.788,86.219,kidneybeans
10.0,55.0,23.0,21.188,19.634,5.728,137.194,kidneybeans
23.0,65.0,20.0,23.042,22.426,5.833,108.368,kidneybeans
19.0,78.0,16.0,20.653,23.105,5.967,67.717,kidneybeans
19.0,65.0,25.0,18.095,18.293,5.625,144.79,kidneybeans
22.0,70.0,19.0,18.237,21.076,5.515,69.449,kidneybeans
37.0,64.0,22.0,17.481,18.825,5.954,121.94,kidneybeans
11.0,71.0,17.0,19.919,21.473,5.746,82.685,kidneybeans
18.0,79.0,20.0,20.275,23.235,5.877,139.752,kidneybeans
21.0,63.0,17.0,15.773,19.23,5.979,108.344,kidneybeans
24.0,80.0,22.0,16.711,19.176,5.635,96.772,kidneybeans
34.0,60.0,22.0,17.661,18.153,5.635,100.671,kidneybeans
16.0,75.0,21.0,18.506,23.616,5.679,87.051,kidneybeans
17.0,77.0,23.0,24.513,20.815,5.67,64.194,kidneybeans
37.0,72.0,18.0,18.876,24.54,5.724,105.412,kidneybeans
40.0,73.0,20.0,21.593,20.318,5.811,61.138,kidneybeans
9.0,77.0,17.0,20.123,24.452,5.783,106.158,kidneybeans
1.0,62.0,23.0,15.435,18.374,5.607,139.03,kidneybeans
33.0,59.0,22.0,22.642,21.593,5.946,122.388,kidneybeans
23.0,59.0,19.0,21.985,24.873,5.852,129.565,kidneybeans
6.0,62.0,22.0,20.53,18.092,5.824,120.45,kidneybeans
25.0,63.0,20.0,15.786,21.145,5.502,95.17,kidneybeans
7.0,79.0,23.0,19.636,19.687,5.821,96.658,kidneybeans
8.0,72.0,17.0,20.573,19.752,5.711,87.878,kidneybeans
27.0,64.0,15.0,20.16,24.842,5.514,138.236,kidneybeans
28.0,66.0,23.0,21.539,24.253,5.996,120.691,kidneybeans
32.0,57.0,18.0,15.538,23.755,5.695,107.385,kidneybeans
27.0,56.0,22.0,19.918,20.7,5.833,108.643,kidneybeans
17.0,77.0,24.0,20.769,18.931,5.568,109.019,kidneybeans
0.0,65.0,15.0,23.461,23.221,5.645,95.842,kidneybeans
13.0,72.0,21.0,24.321,21.027,5.821,60.275,kidneybeans
34.0,60.0,23.0,20.125,24.969,5.659,100.049,kidneybeans
9.0,80.0,19.0,21.806,18.57,5.945,125.097,kidneybeans
11.0,72.0,20.0,19.522,24.926,5.951,113.334,kidneybeans
3.0,67.0,24.0,17.0,19.907,5.52,103.292,kidneybeans
35.0,69.0,23.0,16.787,24.968,5.578,75.453,kidneybeans
3.0,77.0,25.0,24.849,22.894,5.608,62.212,kidneybeans
23.0,62.0,19.0,16.517,20.455,5.609,98.777,kidneybeans
22.0,71.0,17.0,18.153,19.386,5.509,107.69,kidneybeans
31.0,79.0,25.0,23.188,22.31,5.902,63.382,kidneybeans
34.0,59.0,18.0,23.38,21.988,5.744,87.668,kidneybeans
12.0,63.0,17.0,18.358,19.377,5.717,138.414,kidneybeans
27.0,56.0,20.0,19.259,20.513,5.542,94.953,kidneybeans
7.0,63.0,24.0,22.954,24.035,5.858,107.731,kidneybeans
24.0,67.0,22.0,20.12,22.898,5.618,104.625,kidneybeans
11.0,71.0,24.0,21.14,22.718,5.606,141.605,kidneybeans
37.0,74.0,15.0,24.923,18.225,5.582,62.708,kidneybeans
25.0,76.0,24.0,15.33,24.915,5.565,135.331,kidneybeans
34.0,66.0,17.0,18.81,21.278,5.889,125.084,kidneybeans
20.0,69.0,15.0,23.442,22.772,5.934,107.413,kidneybeans
37.0,65.0,16.0,22.835,18.972,5.683,63.592,kidneybeans
18.0,74.0,15.0,24.903,22.275,5.708,146.472,kidneybeans
4.0,67.0,25.0,23.787,24.356,5.948,119.64,kidneybeans
37.0,56.0,25.0,22.055,19.603,5.774,126.726,kidneybeans
5.0,59.0,15.0,18.874,20.182,5.972,134.181,kidneybeans
11.0,61.0,21.0,18.623,23.024,5.532,135.337,kidneybeans
22.0,80.0,20.0,23.008,18.868,5.669,100.118,kidneybeans
12.0,61.0,19.0,19.331,24.139,5.655,68.512,kidneybeans
5.0,74.0,21.0,16.244,21.357,5.591,66.97,kidneybeans
27.0,69.0,22.0,17.916,24.908,5.932,69.146,kidneybeans
31.0,75.0,18.0,15.467,21.437,5.824,88.887,kidneybeans
36.0,68.0,20.0,17.061,23.772,5.864,81.834,kidneybeans
5.0,65.0,16.0,21.327,18.485,5.866,109.101,kidneybeans
32.0,79.0,15.0,23.909,20.746,5.706,81.602,kidneybeans
11.0,78.0,22.0,23.897,22.743,5.94,112.661,kidneybeans
0.0,55.0,22.0,22.986,20.579,5.916,143.858,kidneybeans
14.0,59.0,15.0,21.351,22.912,5.779,146.454,kidneybeans
29.0,68.0,23.0,24.163,19.279,5.827,116.732,kidneybeans
32.0,68.0,19.0,24.628,18.183,5.514,149.744,kidneybeans
17.0,64.0,17.0,21.022,24.938,5.662,124.611,kidneybeans
13.0,69.0,19.0,17.308,20.017,5.863,115.199,kidneybeans
14.0,67.0,22.0,23.825,24.754,5.624,84.641,kidneybeans
9.0,69.0,20.0,19.306,23.963,5.591,129.344,kidneybeans
20.0,73.0,22.0,16.037,22.331,5.976,130.39,kidneybeans
40.0,78.0,20.0,19.185,20.833,5.669,80.152,kidneybeans
27.0,72.0,23.0,19.928,21.799,5.961,64.026,kidneybeans
14.0,67.0,15.0,19.563,24.673,5.69,139.292,kidneybeans
7.0,56.0,18.0,18.313,24.329,5.698,76.141,kidneybeans
27.0,65.0,18.0,20.109,23.223,5.595,73.363,kidneybeans
30.0,63.0,16.0,23.605,21.905,5.525,100.597,kidneybeans
37.0,70.0,25.0,19.731,24.894,5.819,84.063,kidneybeans
27.0,63.0,19.0,20.934,21.189,5.562,133.191,kidneybeans
22.0,60.0,24.0,18.782,20.247,5.63,104.257,kidneybeans
3.0,72.0,24.0,36.512,57.928,6.031,122.653,pigeonpeas
40.0,59.0,23.0,36.891,62.731,5.269,163.726,pigeonpeas
33.0,73.0,23.0,29.235,59.389,5.985,103.33,pigeonpeas
27.0,57.0,24.0,27.335,43.357,6.091,142.33,pigeonpeas
10.0,79.0,18.0,21.064,55.469,5.624,184.622,pigeonpeas
30.0,75.0,25.0,30.332,42.352,6.446,149.299,pigeonpeas
40.0,70.0,20.0,31.801,45.031,5.623,147.036,pigeonpeas
38.0,55.0,19.0,33.181,38.231,5.864,198.829,pigeonpeas
35.0,58.0,20.0,29.385,63.477,5.761,90.054,pigeonpeas
38.0,61.0,21.0,30.273,67.386,4.696,127.776,pigeonpeas
33.0,58.0,24.0,35.457,68.758,5.269,108.633,pigeonpeas
16.0,56.0,17.0,33.8,40.032,7.445,176.616,pigeonpeas
31.0,72.0,17.0,28.691,49.472,5.833,96.362,pigeonpeas
16.0,80.0,20.0,31.24,56.673,7.339,122.014,pigeonpeas
27.0,72.0,17.0,28.98,57.232,6.347,120.743,pigeonpeas
40.0,62.0,19.0,27.321,34.137,4.697,96.515,pigeonpeas
18.0,58.0,16.0,21.476,38.8,4.962,180.382,pigeonpeas
3.0,68.0,16.0,18.319,34.697,4.964,107.472,pigeonpeas
26.0,67.0,24.0,36.977,37.739,5.642,161.481,pigeonpeas
16.0,70.0,20.0,24.804,40.124,5.609,121.563,pigeonpeas
24.0,63.0,19.0,19.347,55.968,4.681,194.592,pigeonpeas
9.0,76.0,25.0,28.883,50.123,5.709,179.215,pigeonpeas
16.0,55.0,19.0,19.543,47.191,6.413,192.437,pigeonpeas
28.0,75.0,21.0,24.774,50.546,6.007,114.282,pigeonpeas
16.0,71.0,24.0,18.331,38.409,4.946,139.648,pigeonpeas
24.0,70.0,21.0,19.147,45.373,5.517,132.774,pigeonpeas
